cell_id,group_id,method,kv_dtype,num_spec_tokens,dataset,load,n_runs,TTFT_ms,TPOT_ms,out_tok_s,tot_tok_s,accept_%,accept_len,gpu_mem_MB
ngram_st8_auto__humaneval__b32,ngram_st8_auto,ngram,auto,8,humaneval,32,3,21.540394984185696,7.308834237868295,4244.381693164984,6945.61979839311,10.771088288342003,1.85592450744265,78128.0
ngram_st8_fp8__humaneval__b32,ngram_st8_fp8,ngram,fp8,8,humaneval,32,3,25.39122197777033,7.720828496431019,3893.665701801686,6455.874788988075,13.977179015905698,2.103301565690946,79740.0
baseline_auto__sharegpt__b1,baseline_auto,baseline,auto,,sharegpt,1,3,13.42668104916811,4.078445694518878,241.4820468734469,563.4348813663488,,,73872.0
baseline_fp8__sharegpt__b1,baseline_fp8,baseline,fp8,,sharegpt,1,3,15.675523318350315,4.419184593289956,221.46128352159235,515.5793819969767,,,74326.0
ngram_st2_auto__sharegpt__b1,ngram_st2_auto,ngram,auto,2,sharegpt,1,3,11.728030629456043,4.919368681878272,221.81795433947153,528.0020677895044,30.535524920466596,1.6105810008481765,73998.0
ngram_st2_fp8__sharegpt__b1,ngram_st2_fp8,ngram,fp8,2,sharegpt,1,3,13.072385918349028,5.64008727000502,203.3571733734201,473.85539492859004,40.86478315262719,1.815722386972582,74390.0
ngram_st4_auto__sharegpt__b1,ngram_st4_auto,ngram,auto,4,sharegpt,1,3,12.845024932175875,4.679229406335743,239.27089199502106,559.0971123802492,21.467151999060647,1.8566241068290967,74080.0
ngram_st4_fp8__sharegpt__b1,ngram_st4_fp8,ngram,fp8,4,sharegpt,1,3,13.372226152569056,5.363916998140069,227.43178507098222,527.426845305747,28.849639072339116,2.148587501528678,74452.0
ngram_st8_auto__sharegpt__b1,ngram_st8_auto,ngram,auto,8,sharegpt,1,3,11.886769905686378,4.649415691891426,260.0404691960873,613.349752428321,13.76128043589307,2.089438565747793,74174.0
ngram_st8_fp8__sharegpt__b1,ngram_st8_fp8,ngram,fp8,8,sharegpt,1,3,13.43733910471201,5.135630360907978,246.22855668689812,573.4356235060831,18.343348752756043,2.44595147219193,74530.0
baseline_auto__sharegpt__b8,baseline_auto,baseline,auto,,sharegpt,8,3,17.805539071559906,4.222391765903343,1778.4465894833675,4231.588158683099,,,73872.0
baseline_fp8__sharegpt__b8,baseline_fp8,baseline,fp8,,sharegpt,8,3,20.708750002086163,4.513290216712328,1656.9799787824036,3854.6939632249887,,,74326.0
ngram_st2_auto__sharegpt__b8,ngram_st2_auto,ngram,auto,2,sharegpt,8,3,13.849335722625256,5.401520488353876,1600.703931886537,3743.123560772929,32.56478053939714,1.6510201924093457,73998.0
ngram_st2_fp8__sharegpt__b8,ngram_st2_fp8,ngram,fp8,2,sharegpt,8,3,20.559745840728283,7.606869195220267,1193.264001782542,2782.3979604280257,40.96568319732162,1.8178163020207823,74390.0
ngram_st4_auto__sharegpt__b8,ngram_st4_auto,ngram,auto,4,sharegpt,8,3,13.82580865174532,5.28610738400552,1691.3876706784831,3940.611925733808,20.828924695426103,1.8307710857900765,74080.0
ngram_st4_fp8__sharegpt__b8,ngram_st4_fp8,ngram,fp8,4,sharegpt,8,3,20.89528227224946,7.354865635766886,1275.0597845228692,2988.0449802096828,28.565631340721087,2.1357120695004657,74452.0
ngram_st8_auto__sharegpt__b8,ngram_st8_auto,ngram,auto,8,sharegpt,8,3,14.263315126299858,5.440163880561021,1766.1300344076062,4171.921234084629,13.051791365044377,2.0329742945879863,74388.0
ngram_st8_fp8__sharegpt__b8,ngram_st8_fp8,ngram,fp8,8,sharegpt,8,3,21.188249811530113,7.3765708200101345,1323.5568326165296,3087.3629146822964,16.884833388404545,2.329575021682567,74750.0
baseline_auto__sharegpt__b32,baseline_auto,baseline,auto,,sharegpt,32,3,22.83724257722497,5.068092640322536,4790.526667109821,11312.786013979694,,,73872.0
baseline_fp8__sharegpt__b32,baseline_fp8,baseline,fp8,,sharegpt,32,3,27.653438039124012,5.407951253494857,4521.104694033925,10416.13940554522,,,74326.0
ngram_st2_auto__sharegpt__b32,ngram_st2_auto,ngram,auto,2,sharegpt,32,3,17.861586529761553,7.028949094819836,4039.8229941885998,9487.853964525004,32.355682254262376,1.6467590816941537,74098.0
ngram_st2_fp8__sharegpt__b32,ngram_st2_fp8,ngram,fp8,2,sharegpt,32,3,22.13196735829115,8.466242722677908,3598.4860096559582,8327.192260616974,40.97516193196307,1.8183346065699006,74756.0
ngram_st4_auto__sharegpt__b32,ngram_st4_auto,ngram,auto,4,sharegpt,32,3,18.97948933765292,7.018604825305353,4280.585098177529,9975.360115976113,21.38673467874672,1.8534319526627219,75266.0
ngram_st4_fp8__sharegpt__b32,ngram_st4_fp8,ngram,fp8,4,sharegpt,32,3,23.387831170111895,8.70032946113497,3514.320392444014,8158.898600707312,28.578357741895104,2.138360860081022,75494.0
ngram_st8_auto__sharegpt__b32,ngram_st8_auto,ngram,auto,8,sharegpt,32,3,22.128696087747812,8.41670248605762,3691.157182784365,8701.6095468583,12.317578227714963,1.9743889755590223,77738.0
ngram_st8_fp8__sharegpt__b32,ngram_st8_fp8,ngram,fp8,8,sharegpt,32,3,25.48540197312832,8.950714766979218,3816.3875827581237,8867.53410268345,17.1150844812377,2.3480758952431855,79350.0
